productTitle,averageRating,reviewTitle,reviewDescription,reviewAuthor,reviewAt
"APPLE iPhone SE (Black, 256 GB)",4.5,Just wow!,Nothing is better than this SE,Flipkart Customer,"Jan, 2021"
"OPPO F11 Pro (Thunder Black, 64 GB)",4.5,Brilliant,Nice,srinu balaga,"Oct, 2019"
"APPLE iPhone SE (Black, 256 GB)",4.5,Does the job,"Last year I used Google pixel 2 . Iphone se camera cannot beat pixels image quality.i expect more from this and it disappointed me.now I realized actually I was downgrade from my last year phone Average battery,camera,display .if you want sharp photos go for Google pixel 4a",Muhammed  Nasmir ,"Jan, 2021"
Boult Audio BassBuds Loop Wired Headset,4.1,Awesome,"Worth buying for the that price.. really good..,!!",Flipkart Customer,9 months ago
"OPPO F11 Pro (Thunder Black, 64 GB)",4.5,Worth the money,"Great product, value for money in this price range.",Flipkart Customer,"Oct, 2019"
"APPLE iPhone SE (Black, 256 GB)",4.5,Highly recommended,Good product in good condition received writing a review after 3 months but having heating problem,Flipkart Customer,"Jan, 2021"
Boult Audio BassBuds Loop Wired Headset,4.1,Wonderful,Good👍,Praful  Sondkar,9 months ago
"OPPO F11 Pro (Thunder Black, 64 GB)",4.5,Really Nice,must buy a good product and a good feelnice to use the mobile,Shashank shashi,"Oct, 2019"
"APPLE iPhone SE (Black, 256 GB)",4.5,Great product,Nice phone..worth the money.great 📷 camera. Absolutely 🤗 love it.,Aamir Haque,"Jan, 2021"
Boult Audio BassBuds Loop Wired Headset,4.1,Good choice,Best in the price segment. Only problem is that they are not that comfortable.,Flipkart Customer,9 months ago
"REDMI Note 10S (Deep Sea Blue, 64 GB)",4.2,Terrific,Very good,Soumyaranjan Das,1 month ago
"OPPO F11 Pro (Thunder Black, 64 GB)",4.5,Pretty good,slower operating system... rest is good..,Flipkart Customer,"Oct, 2019"
SAMSUNG Guru FM Plus SM-B110E/D,4.3,Delightful,So good Samsung....👌👌👌👌,P.T.SARAVANAN SARAN,"Feb, 2020"
"APPLE iPhone SE (Black, 256 GB)",4.5,Terrific purchase,It's apple budget iPhone you can at a reasonable price during sale. You can get it anywhere else at this price,Flipkart Customer,"Jan, 2021"
Boult Audio BassBuds Loop Wired Headset,4.1,Awesome,Voice quality is good Thnks 2 Flipkart 😊,Flipkart Customer,9 months ago
"REDMI Note 10S (Deep Sea Blue, 64 GB)",4.2,Highly recommended,Good,Flipkart Customer,1 month ago
"OPPO F11 Pro (Thunder Black, 64 GB)",4.5,Mind-blowing purchase,osm product...,LITAN  DAS,"Oct, 2019"
SAMSUNG Guru FM Plus SM-B110E/D,4.3,Awesome,Good phone in this price range.,Sagar Kadir,"Feb, 2020"
"APPLE iPhone SE (Black, 256 GB)",4.5,Very Good,Charging point issue. Phone is not getting charged so I had to go service centre. Disapointed.,Flipkart Customer,"Jan, 2021"
Boult Audio BassBuds Loop Wired Headset,4.1,Terrific,Hey I am using the boult audio loop bassbuds since last 2months  and i was shocked the earphone has massive sound quality and unexpected performance I have suggest to you go through this earphone under this price range fabulous material quality using boult community while i was tried so many devices to use the earphone but the conclusion was same best sound quality Overall sound quality:-10/10*,Nishant Vilas Bokde,9 months ago
"REDMI Note 10S (Deep Sea Blue, 64 GB)",4.2,Wonderful,Excellent phone,AVINASH KUMAR,1 month ago
"OPPO F11 Pro (Thunder Black, 64 GB)",4.5,Terrific,Thanks to Flipkart for sell on big billion day of a huge price dropping.,Satyam  Yadav,"Oct, 2019"
SAMSUNG Guru FM Plus SM-B110E/D,4.3,Excellent,Great product,Tejas Kamtekar,"Feb, 2020"
"APPLE iPhone SE (Black, 256 GB)",4.5,Very poor,Battery is worstAverage functions working.Delivery service is pathetic & unprofessional.Ekart service is bad.Phone is fine. Don't expect too much.,Lakhan D,"Jan, 2021"
Boult Audio BassBuds Loop Wired Headset,4.1,Value-for-money,Perfect 😎💓💓💓,Samim Rahaman,9 months ago
"REDMI Note 10S (Deep Sea Blue, 64 GB)",4.2,Highly recommended,Best performance,Ravi Kumar,1 month ago
"OPPO F11 Pro (Thunder Black, 64 GB)",4.5,Just wow!,Superb,Rahul Carpenter,"Oct, 2019"
SAMSUNG Guru FM Plus SM-B110E/D,4.3,Worth every penny,Nice phone 👍👌,Abdul Mujeeb,"Feb, 2020"
"APPLE iPhone SE (Black, 256 GB)",4.5,Awesome,best product,ASHOK BANDA,"Jan, 2021"
Boult Audio BassBuds Loop Wired Headset,4.1,Terrific,Good ear phones in this price tag. Worthy,Ravikumar  Kasa,9 months ago
"REDMI Note 10S (Deep Sea Blue, 64 GB)",4.2,Could be way better,Nyc phone but camera 📷 not good,Lucky Nayak,1 month ago
"OPPO F11 Pro (Thunder Black, 64 GB)",4.5,Really Nice,"2nd sim,sd card prabbulam",Flipkart Customer,"Oct, 2019"
SAMSUNG Guru FM Plus SM-B110E/D,4.3,Must buy!,Very nice,Suresh Aijth,"Feb, 2020"
"APPLE iPhone SE (Black, 256 GB)",4.5,Must buy!,Thanks,moHit leHri,"Jan, 2021"
Boult Audio BassBuds Loop Wired Headset,4.1,Decent product,I expected much better,Poulami Dutta,9 months ago
"REDMI Note 10S (Deep Sea Blue, 64 GB)",4.2,Awesome,It's amazing,Mohd Suhail,1 month ago
SAMSUNG Guru FM Plus SM-B110E/D,4.3,Awesome,Good,khushbu jha,"Feb, 2020"
"APPLE iPhone SE (Black, 256 GB)",4.5,Terrific purchase,Nice phone Value for money,Flipkart Customer,"Jan, 2021"
Boult Audio BassBuds Loop Wired Headset,4.1,Could be way better,No inline mic,Piyush Verma,9 months ago
"REDMI Note 10S (Deep Sea Blue, 64 GB)",4.2,Must buy!,Nice product 😊 thanks Flipkart,HarishRichi Yash,1 month ago
SAMSUNG Guru FM Plus SM-B110E/D,4.3,Worth every penny,Super,Flipkart Customer,"Feb, 2020"
Boult Audio BassBuds Loop Wired Headset,4.1,Mind-blowing purchase,It's amazing,Priyesh Ranjan Srivastava,9 months ago
"REDMI Note 10S (Deep Sea Blue, 64 GB)",4.2,Worth the money,Overaly good,Brahmananda  Sahoo,1 month ago
SAMSUNG Guru FM Plus SM-B110E/D,4.3,Delightful,Old is gold,Juber Vahora,"Feb, 2020"
"REDMI Note 10S (Deep Sea Blue, 64 GB)",4.2,Best in the market!,Good,Gamer Tamizan,1 month ago
SAMSUNG Guru FM Plus SM-B110E/D,4.3,Terrific purchase,Nice,SOBHA KUMAR,"Feb, 2020"
"REDMI Note 10S (Deep Sea Blue, 64 GB)",4.2,Just wow!,Good model,Anjalu Boro,1 month ago
SAMSUNG Guru FM Plus SM-B110E/D,4.3,Terrific,Very good product,Dheeraj  Yadav,"Feb, 2020"
Portronics Laptop Cooling Stand Wood Portable Laptop Table,4.4,Just wow!,Sturdy then what I have seen in marketHight adjustment is big plus Go for it,Sanket Pathak,"Jan, 2019"
Portronics Laptop Cooling Stand Wood Portable Laptop Table,4.4,Pretty good,"Good product, best for movie watching as its tiltable and the height is adjustable, not suitable for aggressive gaming (casual is fine), not much area is left for mouse need to have a high dpi mouse, a bit wobbly as well..  Recieved a bit damaged piece (the metal feet has dent/scratches)  don't use the tilt feature more as the plastic stopper might break.",Murtaza Abbas,"Jan, 2019"
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Terrific purchase,Nice,Flipkart Customer,8 months ago
Portronics Laptop Cooling Stand Wood Portable Laptop Table,4.4,Awesome,awesome qaulity,Flipkart Customer,"Jan, 2019"
"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)",4.6,Excellent,amazing... writing review from this phone.. Must buy if you want to switch to iphone,Flipkart Customer,9 months ago
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Nice product,Very good product. Some  infinix phone not working this product,Shivpujan Kori,8 months ago
Portronics Laptop Cooling Stand Wood Portable Laptop Table,4.4,Did not meet expectations,Useless never buy,Arun b  Yadav,"Jan, 2019"
"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)",4.6,Wonderful,Excellent,sarath kishore,9 months ago
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Worth every penny,"Very nice and I got in good condition ,👏👏👏",Flipkart Customer,8 months ago
Portronics Laptop Cooling Stand Wood Portable Laptop Table,4.4,Could be way better,"Quality is good, but size is very small. If you put your 15 inch laptop, you don’t have enough space to put mouse. The image showing is wrong. You don’t have that much space after putting your laptop.",Srinivas Rao,"Dec, 2018"
"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)",4.6,Must buy!,"I was a bit hesitant initially about online order for such expensive product, it’s been a year now and it’s functioning great! Thank you flipcart",Reshma ,9 months ago
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Wonderful,Best 👍👍👍,Altaf Khan,8 months ago
Portronics Laptop Cooling Stand Wood Portable Laptop Table,4.4,Terrific purchase,Awesome deal for 900rs.,Amit kapadi,"Dec, 2018"
"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)",4.6,Excellent,It’s awesome product ❤️it valuable money nd it’s amazing performance 💯you should buy this product,Rahul  Kamble ,9 months ago
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Value-for-money,Very good mic,saurabh kumar,8 months ago
"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)",4.6,Fabulous!,"Awesome mobile from APPLE good cam quality, good features...safe packing",Bhuvana Kandukuri,9 months ago
Portronics Laptop Cooling Stand Wood Portable Laptop Table,4.4,Simply awesome,strong and durable,harsha vardhan,"Dec, 2018"
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Super!,So good,Ghazi Malik,8 months ago
"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)",4.6,Just wow!,Literally best fr ever!! Just go for it,Rahul Suren,9 months ago
Portronics Laptop Cooling Stand Wood Portable Laptop Table,4.4,Worth every penny,Good,Pradeepta Kumar  Jena ,"Dec, 2018"
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Worth every penny,Nice but don't  use redmi moboils,Flipkart Customer,8 months ago
"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)",4.6,Great product,I love iOS and that's what makes the iPhone best.,Sankalp Jena,9 months ago
Portronics Laptop Cooling Stand Wood Portable Laptop Table,4.4,Wonderful,Meets expectations..!!,Shrikrsh Dixit,"Dec, 2018"
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Hated it!,no noise cancelling,Flipkart Customer,8 months ago
Portronics Laptop Cooling Stand Wood Portable Laptop Table,4.4,Worth every penny,really good got it 999,ubaid sayyed,"Dec, 2018"
"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)",4.6,Wonderful,I have been using this phone from past 6 months now and its very good .,Harnoor Kaur,9 months ago
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Just okay,Make much noise,Rokibul  Hussain,8 months ago
"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)",4.6,Wonderful,Great mobile !!,Timmanna subhas,10 months ago
"Apple iPhone XR (Blue, 64 GB) (Includes EarPods, Power Adapter)",4.6,Fabulous!,Superb product loved it,Amrut Uttarkar,10 months ago
"BOYA By-m1 3.5mm Electret Condenser Microphone with 1/4"" Adapter for Smartphones, DSLR, Camcorders Microphone",4.1,Wonderful,Nice,Atis Kumar Das,8 months ago
SAMSUNG EVO Plus 64 GB MicroSDXC Class 10 95 MB/s  Memory Card,4.3,Best in the market!,Good,Flipkart Customer,"Nov, 2020"
Whirlpool 200 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,4.4,Very Good,Value for money,BINGI GOPI,"Feb, 2020"
SAMSUNG EVO Plus 64 GB MicroSDXC Class 10 95 MB/s  Memory Card,4.3,Terrific purchase,Nice products,Rakib Raki,"Nov, 2020"
Whirlpool 200 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,4.4,Fabulous!,There is no such thing as compassion in you. There is a lockdown in the country right now. We can't even set foot outside the house. You people are fined Rs. 500 per week. Shame on the customers.,Raheem Agwan,"Feb, 2020"
SAMSUNG EVO Plus 64 GB MicroSDXC Class 10 95 MB/s  Memory Card,4.3,Highly recommended,This time Good purchase sd cardInitial review is very Good for samsung evo 64GB sd card,MUKESH KUMAR JAISAL,"Nov, 2020"
Whirlpool 200 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,4.4,Brilliant,Thank to flip kart delivery on time best freeze,Nabi Khan,"Feb, 2020"
SAMSUNG EVO Plus 64 GB MicroSDXC Class 10 95 MB/s  Memory Card,4.3,Brilliant,Good one,Vinod K.P,"Nov, 2020"
Whirlpool 200 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,4.4,Just wow!,very good product,Flipkart Customer,"Feb, 2020"
SAMSUNG EVO Plus 64 GB MicroSDXC Class 10 95 MB/s  Memory Card,4.3,Wonderful,Good,Yogesh Meher,"Nov, 2020"
ZEBRONICS ZEB-THUNDER Bluetooth Headset,4,Highly recommended,Over all nice product,Mohit Sharma,"Jun, 2020"
Skullcandy Ink'd Headset with mic,4,Decent product,Built quality is very poor according to Price,AMITH Anchan,5 months ago
DELL MS 116 Wired Optical Mouse,4.4,Mind-blowing purchase,Nice product,Tejas Agivale,"Oct, 2020"
Whirlpool 200 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,4.4,Great product,Worth money,Vamshi Rao,"Feb, 2020"
"vivo V5 (Crown gold, 32 GB)",4.3,Mind-blowing purchase,Thanks good products I am :-(,venni appala naidu,"Jun, 2017"
SAMSUNG EVO Plus 64 GB MicroSDXC Class 10 95 MB/s  Memory Card,4.3,Perfect product!,Outstanding ❤️,Kumar Gaurav,"Nov, 2020"
ZEBRONICS ZEB-THUNDER Bluetooth Headset,4,Worth the money,"At a price, product is worth buying. Cushion over ear helps to reduce noise. Sometimes, looses voice and delays release. Overall, it is good product to buy.",Jalpesh Desai,"Jun, 2020"
Skullcandy Ink'd Headset with mic,4,Bad quality,I have purchased this item on June 24 and after 2 months i coluld not hear it from one end,ritesh,5 months ago
DELL MS 116 Wired Optical Mouse,4.4,Terrific,Nice product and fast delivery,Flipkart Customer,"Oct, 2020"
Whirlpool 200 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,4.4,Does the job,Delivery on time but Installation pending till today,VIJAY  DANGE,"Feb, 2020"
Boult Audio Air Bass Free Pods Bluetooth Headset,3.6,Bad quality,"Every thing is good but not good for call , when u r on call sound is very low , i use them during work out so they are good for watching videos or doing gym and for driving also (calling is bad)",Flipkart Customer,7 months ago
"vivo V5 (Crown gold, 32 GB)",4.3,Slightly disappointed,"It doesn't mean that why we buy 4gb RAM, it is slow in process And it hags even when I'm playing Candy crush, even though it is a very basic game in Android.",Maha Saravanan R,"Jun, 2017"
SAMSUNG EVO Plus 64 GB MicroSDXC Class 10 95 MB/s  Memory Card,4.3,Pretty good,Good product.,Flipkart Customer,"Nov, 2020"
ZEBRONICS ZEB-THUNDER Bluetooth Headset,4,Great product,Extremely aggressive product the loud ness is very good and the bass is great; battery backup is nice.,chandrakant arora,"Jun, 2020"
Skullcandy Ink'd Headset with mic,4,Very Good,Gd one,Rohit  Yadav,5 months ago
DELL MS 116 Wired Optical Mouse,4.4,Terrific purchase,Awesome!!,Flipkart Customer,"Oct, 2020"
Whirlpool 200 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,4.4,Worth the money,good look worksgood,Divya  Palla ,"Feb, 2020"
Boult Audio Air Bass Free Pods Bluetooth Headset,3.6,Simply awesome,Just amazing product from boult. The sound quality is so good and also the long battery backup. Build quality and design is amazing. It's a very nice product at a very affordable price.,Sanjay Bhalekar,7 months ago
"vivo V5 (Crown gold, 32 GB)",4.3,Must buy!,Good mobile,Basudev Pradhan,"Jun, 2017"
SAMSUNG EVO Plus 64 GB MicroSDXC Class 10 95 MB/s  Memory Card,4.3,Delightful,It have only 59 GB of storage should it increase.Superb speed of read & write,MYSTERIOUS SHUBHAM ,"Nov, 2020"
Skullcandy Ink'd Headset with mic,4,Absolute rubbish!,The earphone stopped working 20 days after delivery,Flipkart Customer,5 months ago
DELL MS 116 Wired Optical Mouse,4.4,Excellent,Good one,Aishwarya Nalegaonkar,"Oct, 2020"
ZEBRONICS ZEB-THUNDER Bluetooth Headset,4,Hated it!,damage product,RAHUL Thakur,"Jun, 2020"
Whirlpool 200 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,4.4,Excellent,Verry nice,Mahesh Sharma,"Feb, 2020"
Boult Audio Air Bass Free Pods Bluetooth Headset,3.6,Really Nice,Sound quality and base is excellentBattery backup is extra ordinary,Vishal  Kumar,7 months ago
"vivo V5 (Crown gold, 32 GB)",4.3,Not good,Flipkart has wrost packing now and very bad return policy very disappointed with online purchase.,Hans Raj Thakur,"Jun, 2017"
SAMSUNG EVO Plus 64 GB MicroSDXC Class 10 95 MB/s  Memory Card,4.3,Classy product,Highly recommended 👍👍,Somnath Das,"Nov, 2020"
Skullcandy Ink'd Headset with mic,4,Moderate,One side not working after one year,Siddalinga Swamy k  s,5 months ago
DELL MS 116 Wired Optical Mouse,4.4,Good choice,gud,Ritu  Rawat,"Oct, 2020"
Whirlpool 200 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,4.4,Just wow!,Value for money  and super colar.best in tha  market.brand ka baap flipkart,Flipkart Customer,"Feb, 2020"
ZEBRONICS ZEB-THUNDER Bluetooth Headset,4,Good quality product,It is good product,Flipkart Customer,"Jun, 2020"
Boult Audio Air Bass Free Pods Bluetooth Headset,3.6,Very poor,As per my suggestion please don't waste your money. There is an sound distance in calls. For music it's ok. Please try to choose an alternative.,rudy punati,7 months ago
"vivo V5 (Crown gold, 32 GB)",4.3,Really Nice,Nice mobile..,AKASH  K M,"Jun, 2017"
SAMSUNG EVO Plus 64 GB MicroSDXC Class 10 95 MB/s  Memory Card,4.3,Fabulous!,Good product Good quality,Flipkart Customer,"Nov, 2020"
Skullcandy Ink'd Headset with mic,4,Awesome,Awesome,Flipkart Customer,5 months ago
DELL MS 116 Wired Optical Mouse,4.4,Worth the money,Good,Abhishek Kumar,"Oct, 2020"
Whirlpool 200 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,4.4,Waste of money!,Worst,Umesh,"Feb, 2020"
ZEBRONICS ZEB-THUNDER Bluetooth Headset,4,Excellent,Good,Arindam Mondal,"Jun, 2020"
Boult Audio Air Bass Free Pods Bluetooth Headset,3.6,Value-for-money,Nice product,Ishwar  Khatik ,7 months ago
"vivo V5 (Crown gold, 32 GB)",4.3,Just wow!,Best phone for camera and music,Pratik Pednekar,"Jun, 2017"
"Redmi 6 (Blue, 32 GB)",4.4,Very Good,nice one product at this price,subhash chandra,"Nov, 2019"
Skullcandy Ink'd Headset with mic,4,Terrible product,nothing special .it's worthless,shanmugam  m,5 months ago
DELL MS 116 Wired Optical Mouse,4.4,Terrific,Again awesome product from dell and fast delivery by Flipkart,Flipkart Customer,"Oct, 2020"
Boult Audio Air Bass Free Pods Bluetooth Headset,3.6,Best in the market!,All good Battery backup very goodValue to money,Ankit  Sangwan ,7 months ago
ZEBRONICS ZEB-THUNDER Bluetooth Headset,4,Wonderful,I am very happy.,Flipkart Customer,"Jun, 2020"
"vivo V5 (Crown gold, 32 GB)",4.3,Great product,I like v5  but last two-day it's not proper working screen will be black out to 15/20 mint I am very disappointed with this so u can replacement,Hiren Gopani,"Jun, 2017"
"Redmi 6 (Blue, 32 GB)",4.4,Pretty good,good,Flipkart Customer,"Nov, 2019"
Skullcandy Ink'd Headset with mic,4,Very poor,Poor,AJMAHILPATEL Biradar,5 months ago
DELL MS 116 Wired Optical Mouse,4.4,Terrible product,Worst,Narasimhamurthy VN,"Oct, 2020"
Boult Audio Air Bass Free Pods Bluetooth Headset,3.6,Don't waste your money,The Boult Audio Air Bass Freepods connectivity is soo poor and it will be disconnected automatically after half an hour.I fully charged the case then also it always shows 70% battery. When I'm listing any songs or watching videos after half an hour the right side earbuds disconnected automatically. The sound quality is good but the touch button is also bad. I complain about boult audio and Flipkart for return but not receive any response. Suggestion to other buyers please think before buy.T...,Yash,7 months ago
ZEBRONICS ZEB-THUNDER Bluetooth Headset,4,Awesome,Excellent in this price range,Amit Raj,"Jun, 2020"
"vivo V5 (Crown gold, 32 GB)",4.3,Delightful,Nice one.... Worthable,Venkata Ramachandra Rao Macharla,"Jun, 2017"
"Redmi 6 (Blue, 32 GB)",4.4,Must buy!,nice phone ever,Dangar Prabhat,"Nov, 2019"
Skullcandy Ink'd Headset with mic,4,Terrible product,Worst product in terms of durability. Poor design and gets tangled every time. Do not buy it waste of money. Instead put some extra bucks and go for house of Marley,Flipkart Customer,5 months ago
DELL MS 116 Wired Optical Mouse,4.4,Highly recommended,Great Product to buy,PRANJAL KUMAR,"Oct, 2020"
Boult Audio Air Bass Free Pods Bluetooth Headset,3.6,Just okay,"I really like the product. Excellent sound quality but it doesn’t have much heavy bass but it’s fine. The built quality of the pods is really nice but the case disappointed me. Battery run upto 4-5 hours. The only thing i felt bad on this product is the buds. because its not comfortable for my ears and I felt little pain when i put it for so long, at least you should give extra buds with different sizeOverall the product is decent and it’s value for money",Anirudh K,7 months ago
ZEBRONICS ZEB-THUNDER Bluetooth Headset,4,Worth the money,Quality good,Mrityunjay Singh,"Jun, 2020"
"vivo V5 (Crown gold, 32 GB)",4.3,Very Good,Pure Awsome,Anshul Gehlot,"Jun, 2017"
"Redmi 6 (Blue, 32 GB)",4.4,Classy product,Good,Flipkart Customer,"Nov, 2019"
Skullcandy Ink'd Headset with mic,4,Utterly Disappointed,Earphones get damaged very quickly,Anenaya Raajsshri,5 months ago
DELL MS 116 Wired Optical Mouse,4.4,Highly recommended,Nice product,Tripti Ray,"Oct, 2020"
Boult Audio Air Bass Free Pods Bluetooth Headset,3.6,Wonderful,Nice product,Neha Zanwar,7 months ago
ZEBRONICS ZEB-THUNDER Bluetooth Headset,4,Hated it!,Don't buy because it's cheap. Poorly built. On/Off button was broken when I received it.,Praveen,"Jun, 2020"
"vivo V5 (Crown gold, 32 GB)",4.3,Pretty good,Osm phn with good feature at this rangeVivo just Nailed IT,Shobhit Mavi,"Jun, 2017"
"Redmi 6 (Blue, 32 GB)",4.4,Super!,good,Flipkart Customer,"Nov, 2019"
Boult Audio Air Bass Free Pods Bluetooth Headset,3.6,Not recommended at all,Worst product.. battery is not working after a month,Flipkart Customer,7 months ago
